FSM,Testcases,Cores,Total CPU,Execution GPU,Total GPU
h323.test,2241832,32,114.247471,473.647296,543.63867
h323.test,2241832,16,120.40113,473.647296,543.63867
h323.test,2241832,8,216.615121,473.647296,543.63867
h323.test,2241832,1,1554.731213,473.647296,543.63867
h323.test,2097152,32,106.859783,442.988704,482.43277
h323.test,2097152,16,151.025625,442.988704,482.43277
h323.test,2097152,8,200.652719,442.988704,482.43277
h323.test,2097152,1,1452.465388,442.988704,482.43277
h323.test,1048576,32,53.542684,223.163104,246.755404
h323.test,1048576,16,55.579959,223.163104,246.755404
h323.test,1048576,8,100.63635,223.163104,246.755404
h323.test,1048576,1,726.555803,223.163104,246.755404
h323.test,524288,32,26.806055,113.107392,125.348562
h323.test,524288,16,27.763721,113.107392,125.348562
h323.test,524288,8,50.234088,113.107392,125.348562
h323.test,524288,1,363.808278,113.107392,125.348562
h323.test,262144,32,13.576338,58.038752,62.622424
h323.test,262144,16,14.935593,58.038752,62.622424
h323.test,262144,8,25.069447,58.038752,62.622424
h323.test,262144,1,180.988028,58.038752,62.622424
h323.test,131072,32,7.20638,31.324864,33.847748
h323.test,131072,16,11.593051,31.324864,33.847748
h323.test,131072,8,12.64633,31.324864,33.847748
h323.test,131072,1,90.583097,31.324864,33.847748
h323.test,65536,32,3.640345,17.985312,19.457198
h323.test,65536,16,6.231812,17.985312,19.457198
h323.test,65536,8,7.479879,17.985312,19.457198
h323.test,65536,1,45.287638,17.985312,19.457198
h323.test,32768,32,1.801839,10.899008,11.793636
h323.test,32768,16,1.899478,10.899008,11.793636
h323.test,32768,8,3.749648,10.899008,11.793636
h323.test,32768,1,22.666831,10.899008,11.793636
h323.test,16384,32,0.95997,5.087648,5.618325
h323.test,16384,16,1.533089,5.087648,5.618325
h323.test,16384,8,2.220748,5.087648,5.618325
h323.test,16384,1,11.310194,5.087648,5.618325
h323.test,8192,32,0.459836,3.664608,4.057369
h323.test,8192,16,0.838097,3.664608,4.057369
h323.test,8192,8,0.950821,3.664608,4.057369
h323.test,8192,1,7.381263,3.664608,4.057369
h323.test,4096,32,0.338661,3.271168,3.605286
h323.test,4096,16,0.495246,3.271168,3.605286
h323.test,4096,8,0.557754,3.271168,3.605286
h323.test,4096,1,3.689445,3.271168,3.605286
h323.test,2048,32,0.187315,3.271648,3.606822
h323.test,2048,16,0.367855,3.271648,3.606822
h323.test,2048,8,0.388528,3.271648,3.606822
h323.test,2048,1,1.856804,3.271648,3.606822
